sID,group,delay,intercept,slope,clean_range,n_good,calibErr,kLE,kRE,beforeRefit_kLE,beforeRefit_kRE,U2,U3,sigma,AE,FE,kAE,kFE,uAE,uFE,step1attenuationErr,step2normalizationErr,softmaxErr
AM_LE_G_JQ_48,AM,0.472475873443038,0.037616980080909,1.27746302398999,0.5,28,0.00250247132538668,0.528622394038487,1,0.720432662114691,1,33.9119198917211,1.76702204974705e-13,1.07199452200834,left,right,0.528622394038487,1,33.9119198917211,1.76702204974705e-13,0.178020953326016,0.0447688833284017,0.0433503255226965
AM_LE_G_YK_67,AM,0.926019073529448,0.693571187996753,2.48257231722314,0.5,26,0.00104957488972315,0.765962067923182,1,1,0.960590773789891,14.9154490803987,3.64249037735689e-11,0.738891091032765,left,right,0.765962067923182,1,14.9154490803987,3.64249037735689e-11,0.357184412838722,0.277591476084717,0.271155688699257
AM_LE_L_CJ_38,AM,0.706282769680963,0.124157543875425,1.19709279113916,0.5,28,0.00098691848678774,0.439432756328375,1,0.625594197813965,1,7.62536446997101,7.81782783513596e-12,1.04604559226852,left,right,0.439432756328375,1,7.62536446997101,7.81782783513596e-12,0.131883270352835,0.0653563272636971,0.0638092290092542
AM_LE_L_HQ_72,AM,1.16223059570121,0.183133802656949,1.37340354093646,0.5,28,0.0017434067541475,0.294991823295454,1,0.177688107762175,1,0.000148752992790793,0.000101060137876674,0.930590722955663,left,right,0.294991823295454,1,0.000148752992790793,0.000101060137876674,0.12189758243416,0.118659435957011,0.118424449018579
AM_LE_L_IE_68,AM,0.901379536957651,0.34311432280032,1.48595269348784,0.5,28,0.00101872581465742,0.573753193176467,1,0.411511291690612,1,0.000245461508297965,0.000234109583271767,1.09812121039307,left,right,0.573753193176467,1,0.000245461508297965,0.000234109583271767,0.158517733826136,0.15325698839514,0.156450732423408
AM_LE_L_IQ_63,AM,1.03983017856993,0.00176089383840097,1.21383416398913,0.5,28,0.00173040694320905,0.211865724010433,1,0.337870801257885,1,0.235056446099249,0.518373980445538,1.19906734509413,left,right,0.211865724010433,1,0.235056446099249,0.518373980445538,0.10149061804816,0.072101739349814,0.0717411385976201
AM_LE_L_WA_43,AM,0.721621962913583,0.143288358656767,1.22701174441709,0.5,28,0.000609431068182612,0.669224160943204,1,0.719139696669282,1,0.284344211886758,1.15996419901422,0.986421276909274,left,right,0.669224160943204,1,0.284344211886758,1.15996419901422,0.113097773957561,0.0587562725062567,0.0589710256910195
AM_RE_G_RF_20,AM,0.804497767264013,0.52466325977503,1,0.5,20,0.00391255612221192,1,0.723563941678614,1,0.770044494215406,0.69004327549322,1.56747222901308,0.890201595972673,right,left,0.723563941678614,1,1.56747222901308,0.69004327549322,0.137902436132621,0.0540921213663554,0.0540405665603224
AM_RE_L_BH_69,AM,1.07985545293141,0.106177902043591,1.43239302501977,0.5,28,0.00328693126237707,1,0.0710488838365754,1,3.85123507206316e-05,7.98350300577394e-05,0.000143276928907716,0.9519536794228,right,left,0.0710488838365754,1,0.000143276928907716,7.98350300577394e-05,0.105047800176219,0.104541322457725,0.104621507797301
AM_RE_L_FZ_43,AM,0.326052152435337,0.386370717550909,1.71640575063982,0.5,28,0.00590605385161439,1,0.0202926776395269,1,0.0719850004336927,0.000182008091794641,0.000234454206826461,0.877405889463149,right,left,0.0202926776395269,1,0.000234454206826461,0.000182008091794641,0.104482245377539,0.0964593641777383,0.0963883615091975
AM_RE_L_IA_22,AM,0.483333264126415,0.151213463064856,1.54948365939296,0.5,28,0.00390401268467646,1,0.334976983853858,1,0.628004506520769,3.12469826081432e-06,4.63928708243385e-07,1.23101479148064,right,left,0.334976983853858,1,4.63928708243385e-07,3.12469826081432e-06,0.16588191426485,0.140606886949899,0.148682446765108
AM_RE_L_KR_58,AM,0.967387485609536,0.221730637791453,1.30814371909581,0.5,28,0.000652130697223455,1,0.234188606721078,1,0.288502424388257,0.0768164661023712,8.36711476010785,1.01732559143928,right,left,0.234188606721078,1,8.36711476010785,0.0768164661023712,0.107611699127789,0.0892571485035451,0.089086163643279
AM_RE_L_RK_15,AM,0.589892481842431,0.249968017734006,1.59499821964678,0.5,28,0.000916345779103545,1,0.829906439938402,0.895387853622053,1,0.352336789008911,0.402333840515698,1.35130210330886,right,left,0.829906439938402,1,0.402333840515698,0.352336789008911,0.225789811555751,0.100416121645924,0.0985161569246309
